Test00, Exch0Lit, 100.25,104,1,AAAA,AA, {'party2': 'B08', 'party1': 'S11', 'price': 104, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.25000000000567, 'type': 'Trade'}
Test00, Exch0Lit, 100.275,108,1,AAAA,AA, {'party2': 'B12', 'party1': 'S01', 'price': 108, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.27500000000568, 'type': 'Trade'}
Test00, Exch0Lit, 100.35,112,1,AAAA,AA, {'party2': 'B10', 'party1': 'S16', 'price': 112, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.35000000000569, 'type': 'Trade'}
Test00, Exch0Lit, 100.475,109,1,AAA,AA, {'party2': 'B11', 'party1': 'S03', 'price': 109, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.47500000000572, 'type': 'Trade'}
Test00, Exch0Lit, 100.525,112,1,AAAA,AA, {'party2': 'B12', 'party1': 'S13', 'price': 112, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.52500000000573, 'type': 'Trade'}
Test00, Exch0Lit, 100.55,116,1,AAAA,AA, {'party2': 'B04', 'party1': 'S14', 'price': 116, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.55000000000574, 'type': 'Trade'}
Test00, Exch0Lit, 100.575,121,1,AAA,MLOFI, {'party2': 'B18', 'party1': 'S02', 'price': 121, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.57500000000574, 'type': 'Trade'}
Test00, Exch0Lit, 100.725,112,1,AAAA,AA, {'party2': 'B04', 'party1': 'S12', 'price': 112, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.72500000000578, 'type': 'Trade'}
Test00, Exch0Lit, 100.75,116,1,AAAA,AA, {'party2': 'B08', 'party1': 'S19', 'price': 116, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.75000000000578, 'type': 'Trade'}
Test00, Exch0Lit, 100.775,122,1,AAAA,MLOFI, {'party2': 'B09', 'party1': 'S05', 'price': 122, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.77500000000579, 'type': 'Trade'}
Test00, Exch0Lit, 100.8,134,1,AAAA,AA, {'party2': 'B06', 'party1': 'S15', 'price': 134, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8000000000058, 'type': 'Trade'}
Test00, Exch0Lit, 100.825,150,1,AAA,MLOFI, {'party2': 'B05', 'party1': 'S08', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.8250000000058, 'type': 'Trade'}
Test00, Exch0Lit, 100.95,149,1,AAA,MLOFI, {'party2': 'B07', 'party1': 'S18', 'price': 149, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.95000000000583, 'type': 'Trade'}
Test00, Exch0Lit, 101.125,124,1,AAA,AA, {'party2': 'B17', 'party1': 'S06', 'price': 124, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.12500000000587, 'type': 'Trade'}
