Date,Close,% Change,% Change vs Average,Volume
2025-02-10T00:00:00.000Z,"96,786.48",0.29,0.29,0
2025-02-10T00:05:00.000Z,"96,895.73",0.11,0.11,"1,289,375,744"
2025-02-10T00:10:00.000Z,"96,935.03",0.04,0.04,"180,086,784"
2025-02-10T00:15:00.000Z,"97,098.98",0.17,0.17,"226,576,384"
2025-02-10T00:20:00.000Z,"96,985.49",-0.12,-0.12,"918,634,496"
2025-02-10T00:25:00.000Z,"96,829.36",-0.16,-0.16,0
2025-02-10T00:30:00.000Z,"96,933.26",0.11,0.11,"880,652,288"
2025-02-10T00:35:00.000Z,"96,782.33",-0.16,-0.15,"70,135,808"
2025-02-10T00:40:00.000Z,"96,738.11",-0.05,-0.04,0
2025-02-10T00:45:00.000Z,"96,842.25",0.11,0.11,"879,132,672"
2025-02-10T00:50:00.000Z,"96,793.55",-0.05,-0.05,0
2025-02-10T00:55:00.000Z,"96,743.81",-0.05,-0.05,"423,307,264"
2025-02-10T01:00:00.000Z,"96,649.30",-0.1,-0.1,0
2025-02-10T01:05:00.000Z,"96,644.77",0,0,0
2025-02-10T01:10:00.000Z,"96,508.67",-0.14,-0.14,"372,058,112"
2025-02-10T01:15:00.000Z,"96,406.63",-0.11,-0.1,"149,387,264"
2025-02-10T01:20:00.000Z,"96,265.80",-0.15,-0.14,"94,840,832"
2025-02-10T01:25:00.000Z,"96,267.60",0,0,0
2025-02-10T01:30:00.000Z,"96,351.49",0.09,0.09,0
2025-02-10T01:35:00.000Z,"96,188.73",-0.17,-0.17,"829,483,008"
2025-02-10T01:40:00.000Z,"95,834.47",-0.37,-0.37,0
2025-02-10T01:45:00.000Z,"95,400.00",-0.45,-0.45,"260,442,112"
2025-02-10T01:50:00.000Z,"95,670.03",0.28,0.28,"890,894,336"
2025-02-10T01:55:00.000Z,"95,521.49",-0.16,-0.15,0
2025-02-10T02:00:00.000Z,"95,532.55",0.01,0.01,"1,893,916,672"
2025-02-10T02:05:00.000Z,"95,748.61",0.23,0.23,0
2025-02-10T02:10:00.000Z,"95,537.29",-0.22,-0.22,"1,095,901,184"
2025-02-10T02:15:00.000Z,"95,763.28",0.24,0.24,"1,371,774,976"
2025-02-10T02:20:00.000Z,"95,685.03",-0.08,-0.08,"52,690,944"
2025-02-10T02:25:00.000Z,"95,592.80",-0.1,-0.1,0
