Date,Close,% Change,% Change vs Average,Volume,,,
2025-02-11T00:00:00.000Z,"97,493.88",0.06,0.06,0,,,
2025-02-11T00:05:00.000Z,"97,691.23",0.2,0.2,0,,,
2025-02-11T00:10:00.000Z,"97,736.36",0.05,0.05,"18,862,080",,,
2025-02-11T00:15:00.000Z,"97,678.96",-0.06,-0.06,"704,806,912",,,
2025-02-11T00:20:00.000Z,"97,682.62",0,0,0,,,
2025-02-11T00:25:00.000Z,"97,824.61",0.15,0.15,0,,,
2025-02-11T00:30:00.000Z,"97,801.94",-0.02,-0.02,"700,895,232",,,
2025-02-11T00:35:00.000Z,"97,955.52",0.16,0.16,"27,987,968",,,
2025-02-11T00:40:00.000Z,"98,048.08",0.09,0.1,0,,,
2025-02-11T00:45:00.000Z,"97,917.24",-0.13,-0.13,0,,,
2025-02-11T00:50:00.000Z,"97,838.34",-0.08,-0.08,"73,850,880",,,
2025-02-11T00:55:00.000Z,"97,843.37",0.01,0.01,"87,244,800",,,
2025-02-11T01:00:00.000Z,"97,982.69",0.14,0.14,0,,,
2025-02-11T01:05:00.000Z,"98,044.77",0.06,0.06,0,,,
2025-02-11T01:10:00.000Z,"97,910.97",-0.14,-0.14,"250,884,096",,,
2025-02-11T01:15:00.000Z,"97,977.09",0.07,0.07,"564,416,512",,,
2025-02-11T01:20:00.000Z,"97,936.03",-0.04,-0.04,0,,,
2025-02-11T01:25:00.000Z,"98,027.45",0.09,0.09,"412,946,432",,,
2025-02-11T01:30:00.000Z,"98,012.35",-0.02,-0.01,"681,410,560",,,
2025-02-11T01:35:00.000Z,"98,058.75",0.05,0.05,0,,,
2025-02-11T01:40:00.000Z,"98,065.46",0.01,0.01,"57,536,512",,,
2025-02-11T01:45:00.000Z,"97,959.24",-0.11,-0.11,0,,,
2025-02-11T01:50:00.000Z,"98,094.62",0.14,0.14,0,,,
2025-02-11T01:55:00.000Z,"98,063.08",-0.03,-0.03,0,,,
2025-02-11T02:00:00.000Z,"98,080.11",0.02,0.02,0,,,
2025-02-11T02:05:00.000Z,"98,032.61",-0.05,-0.05,0,,,
2025-02-11T02:10:00.000Z,"97,906.67",-0.13,-0.13,0,,,
2025-02-11T02:15:00.000Z,"97,755.45",-0.15,-0.15,0,,,
2025-02-11T02:20:00.000Z,"97,700.55",-0.06,-0.05,0,,,
2025-02-11T02:25:00.000Z,"97,689.78",-0.01,-0.01,"772,952,064",,,
2025-02-11T02:30:00.000Z,"97,523.59",-0.17,-0.17,0,,,
2025-02-11T02:35:00.000Z,"97,574.87",0.05,0.05,0,,,
2025-02-11T02:40:00.000Z,"97,662.48",0.09,0.09,0,,,
2025-02-11T02:45:00.000Z,"97,846.09",0.19,0.19,"662,745,088",,,
2025-02-11T02:50:00.000Z,"97,831.72",-0.01,-0.01,0,,,
2025-02-11T02:55:00.000Z,"97,788.66",-0.04,-0.04,0,,,
2025-02-11T03:00:00.000Z,"97,660.09",-0.13,-0.13,"643,133,440",,,
2025-02-11T03:05:00.000Z,"97,586.16",-0.08,-0.07,0,,,
2025-02-11T03:10:00.000Z,"97,631.59",0.05,0.05,0,,,
2025-02-11T03:15:00.000Z,"97,634.25",0,0,"826,941,440",,,
2025-02-11T03:20:00.000Z,"97,653.54",0.02,0.02,0,,,
2025-02-11T03:25:00.000Z,"97,703.83",0.05,0.05,"628,940,800",,,
2025-02-11T03:30:00.000Z,"97,578.91",-0.13,-0.13,0,,,
2025-02-11T03:35:00.000Z,"97,522.65",-0.06,-0.06,0,,,
2025-02-11T03:40:00.000Z,"97,540.01",0.02,0.02,0,,,
2025-02-11T03:45:00.000Z,"97,591.01",0.05,0.05,"530,505,728",,,
2025-02-11T03:50:00.000Z,"97,559.35",-0.03,-0.03,0,,,
2025-02-11T03:55:00.000Z,"97,622.28",0.06,0.07,0,,,
2025-02-11T04:00:00.000Z,"97,660.35",0.04,0.04,0,,,
2025-02-11T04:05:00.000Z,"97,641.30",-0.02,-0.02,"681,709,568",,,
2025-02-11T04:10:00.000Z,"97,588.33",-0.05,-0.05,0,,,
2025-02-11T04:15:00.000Z,"97,626.88",0.04,0.04,"9,330,688",,,
2025-02-11T04:20:00.000Z,"97,648.29",0.02,0.02,0,,,
2025-02-11T04:25:00.000Z,"97,629.05",-0.02,-0.02,0,,,
2025-02-11T04:30:00.000Z,"97,761.22",0.14,0.14,0,,,
2025-02-11T04:35:00.000Z,"97,824.31",0.06,0.07,0,,,
2025-02-11T04:40:00.000Z,"97,997.81",0.18,0.18,"2,265,047,040",,,
2025-02-11T04:45:00.000Z,"98,088.50",0.09,0.09,"837,951,488",,,
2025-02-11T04:50:00.000Z,"98,168.97",0.08,0.08,0,,,
2025-02-11T04:55:00.000Z,"98,095.43",-0.07,-0.07,0,,,
2025-02-11T05:00:00.000Z,"98,256.41",0.16,0.17,0,,,
2025-02-11T05:05:00.000Z,"98,291.30",0.04,0.04,"182,386,688",,,
2025-02-11T05:10:00.000Z,"98,205.97",-0.09,-0.09,0,,,
2025-02-11T05:15:00.000Z,"98,110.58",-0.1,-0.1,0,,,
2025-02-11T05:20:00.000Z,"98,198.09",0.09,0.09,"713,183,232",,,
2025-02-11T05:25:00.000Z,"98,246.27",0.05,0.05,0,,,
2025-02-11T05:30:00.000Z,"98,139.98",-0.11,-0.11,0,,,
2025-02-11T05:35:00.000Z,"98,298.45",0.16,0.16,"1,824,669,696",,,
2025-02-11T05:40:00.000Z,"98,294.22",0,0,"26,005,504",,,
2025-02-11T05:45:00.000Z,"98,274.23",-0.02,-0.02,0,,,
2025-02-11T05:50:00.000Z,"98,281.88",0.01,0.01,0,,,
2025-02-11T05:55:00.000Z,"98,457.29",0.18,0.18,0,,,
2025-02-11T06:00:00.000Z,"98,316.08",-0.14,-0.14,"555,704,320",,,
2025-02-11T06:05:00.000Z,"98,239.52",-0.08,-0.08,0,,,
2025-02-11T06:10:00.000Z,"98,223.59",-0.02,-0.02,"63,389,696",,,
2025-02-11T06:15:00.000Z,"98,196.53",-0.03,-0.03,"607,453,184",,,
2025-02-11T06:20:00.000Z,"98,320.14",0.13,0.13,0,,,
2025-02-11T06:25:00.000Z,"98,300.77",-0.02,-0.02,0,,,
2025-02-11T06:30:00.000Z,"98,305.27",0,0.01,"80,121,856",,,
2025-02-11T06:35:00.000Z,"98,347.93",0.04,0.04,0,,,
2025-02-11T06:40:00.000Z,"98,337.11",-0.01,-0.01,"2,232,320",,,
2025-02-11T06:45:00.000Z,"98,333.80",0,0,0,,,
2025-02-11T06:50:00.000Z,"98,441.70",0.11,0.11,0,,,
2025-02-11T06:55:00.000Z,"98,450.60",0.01,0.01,"168,587,264",,,
2025-02-11T07:00:00.000Z,"98,410.59",-0.04,-0.04,"620,199,936",,,
2025-02-11T07:05:00.000Z,"98,383.67",-0.03,-0.03,0,,,
2025-02-11T07:10:00.000Z,"98,387.04",0,0,"92,897,280",,,
